Weekly Control-M_Jobs_Usage_Report
CMDB_Appl,NodeID,CNTRLM_Appl,Mon[04-Apr-16],Tue[05-Apr-16],Wed[06-Apr-16],Thu[07-Apr-16],Fri[08-Apr-16],Sat[09-Apr-16],Sun[10-Apr-16] 
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmtool701,SAP_SCS,0,0,0,0,0,6,0
TE MS PI - EPROC - DEVELOPPEMENT DE1/DX1,eprocdef01,SAP_DE1,5,5,5,5,14,5,5
TE MS PI - EPROC - DEVELOPPEMENT DE1/DX1,eprocdef01,SAP_DT1,0,0,0,0,2,0,0
TE MS PI - EPROC - DEVELOPPEMENT DE1/DX1,eprocdef01,SAP_DX1,5,5,5,5,14,5,5
TE MS PI - EPROC - DEVELOPPEMENT DE1/DX1,eprocdef01,SAP_IE1,7,7,7,7,16,3,3
TE MS PI - EPROC - DEVELOPPEMENT DE1/DX1,eprocdef01,SAP_SE1,1,1,1,1,1,5,1
TE MS PI - EPROC - DEVELOPPEMENT DE1/DX1,eprocdef01,SAP_ST1,0,0,0,0,2,0,0
TE MS PI - EPROC- PRODUCTION PE1/PX1,eprocprd,SAP_PE1,7,7,7,7,7,20,7
TE MS PI - EPROC- PRODUCTION PE1/PX1,eprocprd,SAP_PX1,8,8,8,8,8,5,14
TL FIORI NW NON PROD,frmsdefvisd01,SAP_DA3,1,1,2,1,1,1,1
MISCELLANEOUS,frmseaiwbmd01,eaid1,4,4,4,4,4,4,6
MISCELLANEOUS,frmseaiwbmi01,eaii1,4,4,4,4,4,4,6
MISCELLANEOUS,frmseaiwbmp02,eaip1,8,8,8,8,8,8,8
TE TRANSVERSE - VIRSA NON PROD,frmsgrcsapd01,SAP_DA2,4,4,4,4,4,2,11
TE TRANSVERSE - VIRSA NON PROD,frmsgrcsapi01,SAP_IA2,5,4,3,4,3,10,9
TE TRANSVERSE - VIRSA,frmsgrcsapp01,SAP_PA2,3,4,6,6,6,3,1
TE IXOS - PRODUCTION,frmsteuixosp01,SAP_IXOS_PROD,2,2,2,2,2,1,2
TE IXOS - PRODUCTION,frmsteuixosp02,SAP_IXOS_PROD,4,3,3,3,3,3,3
TE MS - DEVELOPMENT D6B,frmsteusapd01,SAP_D6A,8,8,8,8,14,7,1
TE MS - DEVELOPMENT D6B,frmsteusapd01,SAP_D6B,8,8,8,8,14,1,1
TE MS - DEVELOPMENT D6B,frmsteusapd01,SAP_D8B,8,8,8,8,14,7,1
TE MS - QUALIFICATION SYSTEM Q6B / Q6G,frmsteusapq01,SAP_Q6B,0,0,0,0,0,13,0
TE MS - QUALIFICATION SYSTEM Q6B / Q6G,frmsteusapq01,SAP_Q6G,0,0,0,0,0,13,0
TOTAL ERG - QUALIFICATION SYSTEM Q7B / Q7G,frmsteusapq02,SAP_Q7G,0,0,0,0,0,13,0
TOTAL RC - PREPRODUCTION Q3A,frmsteusapq03,SAP_Q3A,0,0,0,0,0,13,0
TOTAL RC - PREPRODUCTION Q3A,frmsteusapq03,SAP_Q8C,0,0,0,0,0,13,0
TE MS REPORTING - W3B,frmsteusapr01,SAP_W3B,98,94,98,98,94,35,63
TE MS - DEV URGENT U3B,frmsteusapu01,SAP_U3A,64,64,64,64,64,64,64
TE MS - DEV URGENT U3B,frmsteusapu01,SAP_U3B,67,66,66,66,66,3,65
TE MS - DEV URGENT U3B,frmsteusapu01,SAP_U8B,82,63,63,63,63,0,63
INF - PUREFLEX ADMIN,frmsteusvgp01,SAP_D6A,13,13,13,13,11,9,0
INF - PUREFLEX ADMIN,frmsteusvgp01,SAP_D6B,13,13,13,13,11,0,0
INF - PUREFLEX ADMIN,frmsteusvgp01,SAP_D8B,13,13,13,13,11,9,0
INF - PUREFLEX ADMIN,frmsteusvgp01,SAP_Q3A,0,0,0,0,0,11,0
INF - PUREFLEX ADMIN,frmsteusvgp01,SAP_Q6B,0,0,0,0,0,11,0
INF - PUREFLEX ADMIN,frmsteusvgp01,SAP_Q6G,0,0,0,0,0,11,0
INF - PUREFLEX ADMIN,frmsteusvgp01,SAP_Q7G,0,0,0,0,0,11,0
INF - PUREFLEX ADMIN,frmsteusvgp01,SAP_Q8C,0,0,0,0,0,11,0
INF - PUREFLEX ADMIN,frmsteusvgp02,SAP_P3A,15,11,15,11,15,11,15
INF - PUREFLEX ADMIN,frmsteusvgp02,SAP_P3B,15,11,15,11,15,11,15
INF - PUREFLEX ADMIN,frmsteusvgp02,SAP_P3G,11,11,11,11,11,11,11
INF - PUREFLEX ADMIN,frmsteusvgp02,SAP_P4B,15,11,15,11,15,11,15
INF - PUREFLEX ADMIN,frmsteusvgp02,SAP_P4G,15,11,15,11,15,11,15
INF - PUREFLEX ADMIN,frmsteusvgp02,SAP_P8B,15,11,15,11,15,11,15
MISCELLANEOUS,frrmdefrqvcp010,SAP_PR1,2,2,2,2,2,2,2
SMO - SERVICE PLANIFICATION TE,frrmdsictmp11,CTM_CTMTOOL701,3,3,3,3,3,3,3
SMO - SERVICE PLANIFICATION TE,frrmdsictmp12,CTM_CTMTOOL701,3,3,3,3,3,3,3
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,frrmdsictmp15,CTM_CTMTOOL701,5,5,5,5,5,5,5
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,frrmdsictmp16,CTM_CTMTOOL701,5,5,5,5,5,5,5
TOTAL RC - SAPCONTENT,frrmteusapp09,SAP_SCS,1,1,1,1,1,8,0
TOTAL RC - SAPCONTENT,frrmteusapq03,SAP_SCS,1,1,1,1,1,7,1
INF - SERVICE SYS ADMIN TOOLS,infadmp02,BKCP_STAT,1,1,1,1,1,1,1
INF - SERVICE SYS ADMIN TOOLS,infadmp02,CTMTOOL701,6,7,7,7,7,6,7
INF - SERVICE SYS ADMIN TOOLS,infadmp02,SAP_U3A,1,1,1,1,1,1,1
INF - SERVICE SYS ADMIN TOOLS,infadmp02,SAP_U3B,1,1,1,1,1,1,1
TE IXOS - PRODUCTION SHARED,ixosprd,SAP_IXOS_PRD,2,2,1,2,2,2,2
TE SAP SOLUTION MANAGER NON PROD,sapbs5,SAP_BS5,0,0,0,0,0,0,7
TL MUTUALISED TECHNICAL PLATFORM - NON PROD,sapda1,SAP_DA1,1,1,1,1,1,6,1
TE TRANSVERSE - VIRSA NON PROD,sapda2,SAP_DA2,0,0,0,0,0,2,0
MISCELLANEOUS,sapdr1,SAP_DR1,5,4,3,3,10,3,4
TE SAP SOLUTION MANAGER NON PROD,sapds5,SAP_DS5,1,1,1,1,8,1,1
MISCELLANEOUS,sapjr1,SAP_JR1,3,4,5,4,2,12,2
INF - BACK-UP SERVICE,sapnbup05,SAP_P3B,4,4,4,4,4,0,4
INF - BACK-UP SERVICE,sapnbup05,SAP_SCS,1,1,0,0,1,2,1
INF - BACK-UP SERVICE,sapnbup06,SAP_P3E,7,7,7,7,7,0,7
TOTAL RC - PRODUCTION P3A,sapp3a,CTM_P3A,0,0,0,0,0,0,1
TOTAL RC - PRODUCTION P3A,sapp3a,SAP_P3A,11,10,11,10,11,19,11
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3b,SAP_P3B,13,12,13,12,13,17,12
TE-BW-PRODUCTION P3E,sapp3e,SAP_P3E,0,0,0,0,0,2,0
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3g,SAP_P3G,10,10,10,10,10,18,10
TOTAL ERG - PRODUCTION SYSTEM - P4B/P4G,sapp4b,SAP_P4B,10,9,10,9,10,17,10
TOTAL ERG - PRODUCTION SYSTEM - P4B/P4G,sapp4g,SAP_P4G,10,9,10,9,10,17,10
TOTAL RC - PRODUCTION P3A,sapp8b,SAP_P8B,11,10,11,10,11,19,11
TE TRANSVERSE - VIRSA,sappa2,SAP_PA2,0,0,0,0,0,9,1
MISCELLANEOUS,sappj2,SAP_PJ2,2,2,2,2,2,13,2
MISCELLANEOUS,sappr1,SAP_PR1,3,3,2,3,2,11,9
TE SAP SOLUTION MANAGER PROD,sapps5,SAP_P3B,0,0,0,0,0,2,0
TE SAP SOLUTION MANAGER PROD,sapps5,SAP_P3G,0,0,0,0,0,2,0
TE SAP SOLUTION MANAGER PROD,sapps5,SAP_P4B,0,0,0,0,0,2,0
TE SAP SOLUTION MANAGER PROD,sapps5,SAP_P4G,0,0,0,0,0,2,0
TE SAP SOLUTION MANAGER PROD,sapps5,SAP_PS5,1,1,1,1,1,10,2
TOTAL RC - PREPRODUCTION Q3A,sapq3a,SAP_Q3A,3,3,3,3,3,3,3
TE MS - QUALIFICATION SYSTEM Q6B / Q6G,sapq6b,SAP_Q6B,3,3,3,3,3,3,3
TE MS - QUALIFICATION SYSTEM Q6B / Q6G,sapq6g,SAP_Q6G,3,3,3,3,3,3,3
TOTAL ERG - QUALIFICATION SYSTEM Q7B / Q7G,sapq7g,SAP_Q7G,3,3,3,3,3,3,3
TOTAL RC - PREPRODUCTION Q3A,sapq8c,SAP_Q8C,3,3,3,3,3,3,3
MISCELLANEOUS,sapqr1,SAP_QR1,0,0,0,0,8,0,0
TE COPIE FISCALE,saptecf4,SAP_CF1,0,0,5,0,5,3,3
TE COPIE FISCALE,saptecf4,SAP_CF2,0,0,5,0,5,5,5
MISCELLANEOUS,sapteqs1,SAP_DA1,0,0,0,0,0,2,0
TE MS SAPCONTENT,tecsapd01,SAP_SCS,0,0,0,0,0,5,0
TE IMPRESSION NON PROD,teucolr01,COL_INT,22,22,26,22,22,22,22
TE IMPRESSION NON PROD,teucolr01,UNIQPRT_INT,27,27,27,27,27,27,27
TE SAP SOLUTION MANAGER PROD,teusapp02,SAP_PS5,2,2,2,2,2,0,2
MISCELLANEOUS,teusapq02,CTM_CTMTOOL701,1,1,1,1,1,1,1
TE-BW-DEVELOPPEMENT D3E,tewsapd01,SAP_B3E,0,0,0,0,0,13,0
TE-BW-DEVELOPPEMENT D3E,tewsapd01,SAP_D3E,12,5,5,5,5,5,14
TE-BW-PRODUCTION P3E,tewsapp01,SAP_P3E,13,12,13,12,13,2,13
TE TRANSVERSE - VIRSA,virsa02,SAP_VIRSA_PRD,1,1,1,1,1,1,1
EDD - XFB - INTERNE - PROD,xfbprod,MFT_PRD,2,2,2,2,2,2,2
EDD - XFB - INTERNE - PROD,xfbprod,XFB_PRD,0,0,0,0,0,2,0
SMO - SERVICE PLANIFICATION - NON PROD,ctmint701,CTM_EXPLOIT,51,51,51,0,0,0,0
SMO - SERVICE PLANIFICATION - NON PROD,ctmint701,CTM_PLAN,8,8,8,0,0,0,0
EDD - EAI-NON PROD,eaiwbmd01,EAI_DEV,9,9,9,0,0,0,0
EDD - EAI-NON PROD,eaiwbmi01,CTM_EXPLOIT,3,3,3,0,0,0,0
EDD - EAI-NON PROD,eaiwbmi01,EAI_INT,10,10,10,0,0,0,0
EDD - EAI-NON PROD,eaiwbmi01,EAI_IO_INT,8,8,8,0,0,0,0
EDD - EAI-NON PROD,eaiwbmi01,EAI_IO_OPE,22,25,26,0,0,0,0
EDD - EAI-NON PROD,eaiwbmi01,EAI_IO_SUPPLY,2,2,2,0,0,0,0
EDD - EAI-NON PROD,eaiwbmi01,EAI_IT_OPE,1,1,0,0,0,0,0
EDD - EAI-NON PROD,eaiwbmi01,EAI_LU_OPE,8,8,8,0,0,0,0
EDD - EAI-NON PROD,eaiwbmi01,EAI_MK_OPE,132,135,136,0,0,0,0
EDD - EAI-NON PROD,eaiwbmi01,EAI_MK_SUPPLY,1,1,1,0,0,0,0
EDD - EAI-NON PROD,eaiwbmi01,EAI_RA_SUPPLY,2,2,2,0,0,0,0
EDD - EAI-NON PROD,eaiwbmi01,EAI_RK_OPE,8,8,5,0,0,0,0
EDD - EAI-NON PROD,eaiwbmi01,EAI_RO_OPE,3,3,3,0,0,0,0
EDD - EAI-NON PROD,eaiwbmi01,EAI_RU_ABSM,14,14,14,0,0,0,0
EDD - EAI-NON PROD,eaiwbmi01,EAI_RU_SUPPLY,3,3,3,0,0,0,0
EDD - EAI-NON PROD,eaiwbmx01,EAI_DEV,1,1,1,0,0,0,0
EDD - EAI-NON PROD,eaiwbmx01,EAI_INT,13,13,13,0,0,0,0
EDD - EAI-NON PROD,eaiwbmx01,EAI_IO_OPE,1,2,2,0,0,0,0
EDD - EAI-NON PROD,eaiwbmx02,EAI_INT,5,5,5,0,0,0,0
EDD - XFB - INTERNE - INTEGRATION,xfbprep1,XFB_INT,6,6,6,0,0,0,0
SMO - SERVICE PLANIFICATION - NON PROD,ctmint702,CTM_EXPLOIT,50,50,50,0,0,0,0
SMO - SERVICE PLANIFICATION - NON PROD,ctmint702,CTM_PLAN,12,12,12,0,0,0,0
TOTAL ERG BW - PREPRODUCTION Q4E,ergsapq02,SAP_Q4E,1,0,0,0,0,0,0
TOTAL ERG BW - PRODUCTION P4E,sap_4E,SAP_Q4E,3,2,2,0,0,0,0
TOTAL ERG - QUALIFICATION SYSTEM Q7B / Q7G,sapq7b,CTM_EXPLOIT,1,1,1,0,0,0,0
TOTAL ERG - QUALIFICATION SYSTEM Q7B / Q7G,sapq7b,CTM_PLAN,2,2,2,0,0,0,0
TOTAL ERG - QUALIFICATION SYSTEM Q7B / Q7G,sapq7b,SAP_Q7B_ABSM,3,3,3,0,0,0,0
TOTAL ERG - QUALIFICATION SYSTEM Q7B / Q7G,sapq7b,SAP_Q7B_ALL,1,1,1,0,0,0,0
TOTAL ERG - QUALIFICATION SYSTEM Q7B / Q7G,sapq7b,SAP_Q7B_CFLOW,48,48,48,0,0,0,0
TOTAL ERG - QUALIFICATION SYSTEM Q7B / Q7G,sapq7b,SAP_Q7B_FICO,100,155,149,0,0,0,0
TOTAL ERG - QUALIFICATION SYSTEM Q7B / Q7G,sapq7b,SAP_Q7B_INT,32,32,31,0,0,0,0
TOTAL ERG - QUALIFICATION SYSTEM Q7B / Q7G,sapq7b,SAP_Q7B_NT,2,2,2,0,0,0,0
TOTAL ERG - QUALIFICATION SYSTEM Q7B / Q7G,sapq7b,SAP_Q7B_OPE,100,126,126,0,0,0,0
TOTAL ERG - QUALIFICATION SYSTEM Q7B / Q7G,sapq7b,SAP_Q7B_PUR,1,1,1,0,0,0,0
TOTAL ERG - QUALIFICATION SYSTEM Q7B / Q7G,sapq7b,SAP_Q7B_SSR,22,22,22,0,0,0,0
TOTAL ERG - QUALIFICATION SYSTEM Q7B / Q7G,sapq7b,SAP_Q7B_SUPPLY,5,7,7,0,0,0,0
TOTAL ERG - QUALIFICATION SYSTEM Q7B / Q7G,sapq7b,SAP_Q7G_CFLOW,2,2,2,0,0,0,0
TOTAL ERG - QUALIFICATION SYSTEM Q7B / Q7G,sapq7b,SAP_Q7G_SSR,3,3,3,0,0,0,0
TOTAL ERG - QUALIFICATION SYSTEM Q7B / Q7G,sapq7g,SAP_Q7G_INT,4,4,4,0,0,0,0
TOTAL ERG - QUALIFICATION SYSTEM Q7B / Q7G,sapq7g,SAP_Q7G_SSR,9,9,9,0,0,0,0
MISCELLANEOUS,NONODES,CTM_EXPLOIT,54,54,54,0,0,0,0
MISCELLANEOUS,NONODES,CTM_PLAN,28,28,2,0,0,0,0
MISCELLANEOUS,NONODES,PLANJ,1,1,0,0,0,0,0
SMO - SERVICE PLANIFICATION - NON PROD,ctmint703,CTM_PLAN,76,76,76,0,0,0,0
SMO - SERVICE PLANIFICATION - NON PROD,ctmint703,PLANJ,1,1,1,0,0,0,0
TE MS PI - EPROC - DEVELOPPEMENT DE1/DX1,eprocdef01,SAP_IE1_ABSM,1,1,1,0,0,0,0
TE MS PI - EPROC - DEVELOPPEMENT DE1/DX1,eprocdef01,SAP_IE1_INT,4,4,4,0,0,0,0
TE MS PI - EPROC - DEVELOPPEMENT DE1/DX1,eprocdef01,SAP_IE1_PUR,69,69,69,0,0,0,0
TE-BW-PRE-PRODUCTION S3E,s3eserv,SAP_S3E_DW,3,3,11,0,0,0,0
TE MS - SANDBOX B3B B3Z,sapb3b,SAP_B3B_CFLOW,8,8,8,0,0,0,0
TE MS - QUALIFICATION SYSTEM Q6B / Q6G,sapq6b,CTM_EXPLOIT,4,5,4,0,0,0,0
TE MS - QUALIFICATION SYSTEM Q6B / Q6G,sapq6b,CTM_PLAN,1,1,1,0,0,0,0
TE MS - QUALIFICATION SYSTEM Q6B / Q6G,sapq6b,SAP_Q6B_ABSM,6,6,6,0,0,0,0
TE MS - QUALIFICATION SYSTEM Q6B / Q6G,sapq6b,SAP_Q6B_CFLOW,266,255,274,0,0,0,0
TE MS - QUALIFICATION SYSTEM Q6B / Q6G,sapq6b,SAP_Q6B_FICO,532,762,687,0,0,0,0
TE MS - QUALIFICATION SYSTEM Q6B / Q6G,sapq6b,SAP_Q6B_INT,6,6,6,0,0,0,0
TE MS - QUALIFICATION SYSTEM Q6B / Q6G,sapq6b,SAP_Q6B_NTK,43,43,43,0,0,0,0
TE MS - QUALIFICATION SYSTEM Q6B / Q6G,sapq6b,SAP_Q6B_OPE,326,335,335,0,0,0,0
TE MS - QUALIFICATION SYSTEM Q6B / Q6G,sapq6b,SAP_Q6B_SSR,161,162,163,0,0,0,0
TE MS - QUALIFICATION SYSTEM Q6B / Q6G,sapq6b,SAP_Q6B_SUPPLY,164,186,188,0,0,0,0
TE MS - QUALIFICATION SYSTEM Q6B / Q6G,sapq6g,SAP_Q6G_DEU,4,4,0,0,0,0,0
TE MS - QUALIFICATION SYSTEM Q6B / Q6G,sapq6g,SAP_Q6G_NTK,80,72,71,0,0,0,0
MISCELLANEOUS,sapteqs1,CTM_PLAN,1,1,1,0,0,0,0
MISCELLANEOUS,NODE_SAPTEQS1,CTM_PLAN,2,2,2,0,0,0,0
MISCELLANEOUS,NONODES,SAP_Q3A_PUR,2,2,2,0,0,0,0
SMO - SERVICE PLANIFICATION - NON PROD,ctmint704,CTM_EXPLOIT,1,1,1,0,0,0,0
SMO - SERVICE PLANIFICATION - NON PROD,ctmint704,CTM_PLAN,12,12,12,0,0,0,0
SMO - SERVICE PLANIFICATION - NON PROD,ctmint704,ECC6,3,3,3,0,0,0,0
SMO - SERVICE PLANIFICATION - NON PROD,ctmint704,P_CTM_EXPLOIT,50,50,50,0,0,0,0
TOTAL RC - PREPRODUCTION Q3A,sapq3a,SAP_Q3A_ABSM,71,71,71,0,0,0,0
TOTAL RC - PREPRODUCTION Q3A,sapq3a,SAP_Q3A_CRM,1,1,1,0,0,0,0
TOTAL RC - PREPRODUCTION Q3A,sapq3a,SAP_Q3A_DW,12,12,12,0,0,0,0
TOTAL RC - PREPRODUCTION Q3A,sapq3a,SAP_Q3A_FICO,177,190,190,0,0,0,0
TOTAL RC - PREPRODUCTION Q3A,sapq3a,SAP_Q3A_INT,55,56,56,0,0,0,0
TOTAL RC - PREPRODUCTION Q3A,sapq3a,SAP_Q3A_OPE,30,33,31,0,0,0,0
TOTAL RC - PREPRODUCTION Q3A,sapq3a,SAP_Q3A_PUR,82,96,137,0,0,0,0
TOTAL RC - PREPRODUCTION Q3A,sapq3a,SAP_Q3A_TER,403,402,403,0,0,0,0
TOTAL RC - PREPRODUCTION Q3A,sapq3a,SAP_Q3A_UNKNOW,28,28,28,0,0,0,0
TOTAL RC - PREPRODUCTION Q3A,sapq8c,CTM_EXPLOIT,3,3,3,0,0,0,0
TOTAL RC - PREPRODUCTION Q3A,sapq8c,CTM_PLAN,3,3,3,0,0,0,0
TOTAL RC - PREPRODUCTION Q3A,sapq8c,SAP_Q8C_ABSM,11,11,11,0,0,0,0
TOTAL RC - PREPRODUCTION Q3A,sapq8c,SAP_Q8C_CFLOW,59,61,59,0,0,0,0
TOTAL RC - PREPRODUCTION Q3A,sapq8c,SAP_Q8C_FICO,413,552,583,0,0,0,0
TOTAL RC - PREPRODUCTION Q3A,sapq8c,SAP_Q8C_INT,12,11,14,0,0,0,0
TOTAL RC - PREPRODUCTION Q3A,sapq8c,SAP_Q8C_OPE,8,0,0,0,0,0,0
TOTAL RC - PREPRODUCTION Q3A,sapq8c,SAP_Q8C_SD,3,3,3,0,0,0,0
TOTAL RC - PREPRODUCTION Q3A,sapq8c,SAP_Q8C_SUPPLY,58,60,60,0,0,0,0
