Weekly Control-M_Jobs_Usage_Report
CMDB_Appl,NodeID,CNTRLM_Appl,Mon[04-Apr-16],Tue[05-Apr-16],Wed[06-Apr-16],Thu[07-Apr-16],Fri[08-Apr-16],Sat[09-Apr-16],Sun[10-Apr-16] 
MISCELLANEOUS,NODE_SAPP3B,CTM_EXPLOIT,8,9,8,8,9,9,7
MISCELLANEOUS,NODE_SAPP3B,CTM_PLAN,1,1,1,1,1,1,1
MISCELLANEOUS,NODE_SAPP3B,SAP_P3B,8,9,7,7,7,7,6
MISCELLANEOUS,NODE_SAPP3B,SAP_P3B_CFLOW,1,1,1,1,1,1,1
MISCELLANEOUS,NODE_SAPP3B,SAP_P3B_FICO,13,16,15,15,15,0,0
MISCELLANEOUS,NODE_SAPP3B,SAP_P3B_SUPPLY,2,2,2,2,2,0,0
MISCELLANEOUS,NODE_SAPP3B,UNIQPRT_PRD,3,3,3,3,3,5,3
MISCELLANEOUS,NONODES,cm70p703,0,0,0,0,0,0,1
SMO - SERVICE PLANIFICATION TE,ctmprod703,CTM_EXPLOIT,4,3,3,3,3,2,2
SMO - SERVICE PLANIFICATION TE,ctmprod703,CTM_PLAN,15,15,15,15,15,15,15
TE MS PI - EPROC- PRODUCTION PE1/PX1,eprocprd,CTM_EXPLOIT,53,52,52,52,52,52,52
TE MS PI - EPROC- PRODUCTION PE1/PX1,eprocprd,CTM_PLAN,1,1,1,1,1,1,1
TE MS PI - EPROC- PRODUCTION PE1/PX1,eprocprd,SAP_PE1,2,1,2,1,1,3,1
TE MS PI - EPROC- PRODUCTION PE1/PX1,eprocprd,SAP_PE1_ABSM,1,1,1,1,1,0,0
TE MS PI - EPROC- PRODUCTION PE1/PX1,eprocprd,SAP_PE1_INT,9,9,9,9,9,6,6
TE MS PI - EPROC- PRODUCTION PE1/PX1,eprocprd,SAP_PE1_PUR,87,86,86,86,92,22,50
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3b,CTM_EXPLOIT,3,3,3,3,3,3,3
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3b,SAP_P3B,33,33,33,33,33,37,33
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3b,SAP_P3B_ABSM,245,226,309,221,245,126,125
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3b,SAP_P3B_ALL,3,5,5,5,5,3,1
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3b,SAP_P3B_CFLOW,1792,1748,1715,1708,1618,418,1140
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3b,SAP_P3B_DW,28,30,28,31,5,1,27
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3b,SAP_P3B_FICO,2489,3394,2819,2892,3002,975,872
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3b,SAP_P3B_INT,169,277,178,210,188,114,98
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3b,SAP_P3B_ISIS,5,5,5,5,5,1,1
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3b,SAP_P3B_NTK,46,46,46,49,46,46,46
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3b,SAP_P3B_OPE,1003,990,965,988,1008,341,429
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3b,SAP_P3B_PUR,2,1,1,1,1,0,0
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3b,SAP_P3B_SSR,667,651,623,664,581,445,601
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3b,SAP_P3B_SUPPLY,250,286,276,272,271,64,94
